time_s,pga_gal,mmi,category,vibration_detected
172.03,0.42,I,Instrumental,0
172.14,0.26,I,Instrumental,0
172.25,0.4,I,Instrumental,0
172.35,0.26,I,Instrumental,0
172.46,0.45,I,Instrumental,0
172.57,0.54,I,Instrumental,0
172.69,0.88,I,Instrumental,0
172.79,0.43,I,Instrumental,0
172.9,1.05,II,Very Weak,0
173.01,0.74,I,Instrumental,0
173.12,0.3,I,Instrumental,0
173.23,1.21,II,Very Weak,0
173.34,0.56,I,Instrumental,0
173.45,0.52,I,Instrumental,0
173.56,0.25,I,Instrumental,0
173.67,0.2,I,Instrumental,0
173.78,0.38,I,Instrumental,0
173.88,1.29,II,Very Weak,0
173.99,0.27,I,Instrumental,0
174.11,0.8,I,Instrumental,0
174.21,0.59,I,Instrumental,0
174.33,0.89,I,Instrumental,0
174.43,1.73,II,Very Weak,0
174.55,1.99,II,Very Weak,0
174.65,0.31,I,Instrumental,0
174.76,1.16,II,Very Weak,0
174.87,0.55,I,Instrumental,0
174.98,1.34,II,Very Weak,0
175.09,0.12,I,Instrumental,0
175.2,0.05,I,Instrumental,0
175.31,1.2,II,Very Weak,0
175.42,0.47,I,Instrumental,0
175.53,2.72,III,Weak,0
175.64,1.42,II,Very Weak,0
175.75,0.7,I,Instrumental,0
175.86,1.21,II,Very Weak,0
175.97,0.1,I,Instrumental,0
176.09,0.7,I,Instrumental,0
176.19,0.53,I,Instrumental,0
176.31,0.0,I,Instrumental,0
176.41,11.72,V,Moderate,1
176.53,5.94,IV,Light,1
176.64,15.58,V,Moderate,1
176.75,17.25,V,Moderate,1
176.86,6.75,IV,Light,1
176.97,17.7,V,Moderate,1
177.08,1.62,II,Very Weak,0
177.19,3.93,III,Weak,0
177.3,15.85,V,Moderate,1
177.41,17.05,V,Moderate,1
177.52,27.73,VI,Strong,1
177.63,8.33,IV,Light,1
177.74,3.2,III,Weak,0
177.85,3.16,III,Weak,0
177.96,2.3,III,Weak,0
178.07,13.3,V,Moderate,1
178.18,5.73,IV,Light,1
178.29,0.73,I,Instrumental,0
178.4,8.26,IV,Light,1
178.51,17.79,V,Moderate,1
178.62,23.85,V,Moderate,1
178.72,22.07,V,Moderate,1
178.84,15.85,V,Moderate,1
178.95,12.62,V,Moderate,1
